trip_distance_km,trip_duration_min,surge_multiplier,traffic_level,vehicle_type,weather_condition,peak_hour,pickup_zone,fuel_price_per_liter,demand_index,driver_rating,customer_rating,music_preference,customer_loyalty_score,phone_battery_level,ride_fare
10.46,47.39,2.0,Medium,Mini,Rainy,1,Urban,102.12,277.63,4.44,3.71,Pop,31.5,21,1636.62
11.5,56.1,1.0,Medium,Sedan,Rainy,0,Urban,,263.4,3.45,4.76,Classical,13.39,71,796.05
15.71,44.0,2.0,Medium,Mini,Rainy,0,SemiUrban,104.22,129.82,3.73,4.11,Rock,31.48,61,1671.9
1.78,27.4,1.2,Medium,Mini,Sunny,1,SemiUrban,114.73,138.76,4.18,4.21,None,73.7,61,500.27
13.56,42.3,1.0,High,Sedan,Foggy,1,Urban,91.57,234.06,4.99,3.87,None,47.79,22,879.28
9.25,35.65,1.0,Medium,Mini,,0,Airport,,129.35,3.14,3.46,Classical,91.69,93,717.19
,52.18,1.0,Low,Sedan,Foggy,0,Airport,114.65,262.99,3.38,3.45,Classical,1.95,48,1066.31
5.67,3.51,2.0,Medium,Sedan,Sunny,0,SemiUrban,114.72,177.32,4.55,4.26,None,96.15,7,1109.65
35.73,80.15,1.2,Medium,Mini,Sunny,0,SemiUrban,96.0,123.16,3.38,3.03,Pop,95.8,61,1345.3
24.15,84.7,2.0,Low,Mini,Sunny,0,Urban,109.72,121.59,4.35,4.87,Classical,78.43,72,1977.0
27.48,105.26,1.0,Low,SUV,Sunny,0,Airport,91.93,245.98,4.99,3.87,None,50.73,56,1432.82
31.78,131.93,2.0,Medium,Premium,Sunny,0,Airport,112.97,81.17,4.28,4.72,None,35.82,57,3417.53
20.44,82.6,1.2,Medium,Mini,Sunny,0,Urban,99.16,282.98,3.96,3.86,None,95.56,11,1179.12
4.39,9.94,1.0,High,Mini,Sunny,0,Airport,96.92,153.36,,3.23,Rock,68.91,73,504.01
21.95,92.47,1.0,Low,Mini,Sunny,0,Airport,110.33,260.98,4.54,3.21,Classical,76.44,56,1128.6
23.89,93.91,2.5,Low,SUV,Sunny,1,Airport,117.35,248.08,4.42,3.0,None,80.82,46,3320.02
30.07,107.6,1.0,Low,Sedan,Foggy,1,Airport,91.25,244.81,3.23,3.58,Classical,86.05,95,1393.3
17.83,50.84,1.0,Medium,Mini,Rainy,1,Airport,94.31,218.61,4.26,3.86,None,50.15,20,939.57
5.98,17.48,1.0,Medium,Mini,Rainy,0,SemiUrban,97.67,174.86,3.03,3.05,Rock,95.65,36,549.09
12.07,29.83,1.0,High,SUV,Rainy,1,Urban,117.83,147.48,3.11,3.91,Classical,29.51,47,983.47
15.16,41.32,2.0,Medium,Sedan,Sunny,1,SemiUrban,116.31,195.19,3.08,3.26,Classical,79.07,8,1636.49
26.19,84.57,1.2,High,SUV,Sunny,1,SemiUrban,117.22,181.74,3.22,,None,12.71,25,1507.51
23.26,89.61,1.2,Low,Mini,Sunny,0,Airport,101.35,137.76,3.86,4.23,Classical,36.84,29,1331.89
14.89,44.27,2.0,Low,Sedan,Rainy,0,Urban,96.95,173.3,4.89,4.02,None,44.42,42,1756.27
39.47,92.76,1.2,Low,Sedan,Rainy,1,SemiUrban,95.75,141.27,3.15,4.04,Rock,55.41,84,1604.58
24.63,85.52,1.5,Medium,Sedan,Sunny,0,Airport,116.46,214.48,4.44,3.32,None,7.54,24,1888.3
10.25,,1.0,Low,Sedan,Foggy,1,Airport,96.94,258.76,4.01,4.2,None,39.55,94,925.88
4.97,26.14,2.5,Medium,Sedan,Rainy,1,Airport,105.93,246.72,3.55,4.95,Rock,31.18,91,2086.01
6.96,,1.0,Low,Sedan,Sunny,1,Urban,99.95,135.17,3.63,4.95,None,46.19,22,471.23
10.59,24.62,1.5,Low,Mini,Sunny,0,SemiUrban,,177.35,3.05,3.7,None,72.99,94,802.24
,28.83,1.2,Medium,Premium,Foggy,0,SemiUrban,100.37,52.66,4.4,4.46,Classical,15.13,6,973.6
8.28,9.76,1.0,Low,SUV,Sunny,0,Urban,98.79,267.57,3.2,3.88,Classical,68.25,67,758.27
12.12,42.33,1.0,High,Sedan,Sunny,0,Urban,102.82,111.35,3.07,3.28,Rock,35.7,42,758.69
7.76,37.46,1.0,High,Mini,Sunny,1,Airport,99.99,160.27,3.94,4.48,None,30.64,61,761.71
35.97,98.14,1.0,Low,Mini,Sunny,0,Airport,,88.14,3.95,3.69,Rock,40.23,63,1236.33
4.13,11.65,1.2,High,SUV,Rainy,0,SemiUrban,107.42,219.53,4.31,4.52,Classical,85.6,48,941.31
21.46,41.93,2.5,Medium,SUV,Sunny,0,Airport,95.29,186.32,4.41,3.76,None,6.73,43,2890.39
17.01,43.77,1.2,Medium,Mini,Rainy,0,Airport,97.08,141.2,4.02,3.35,Rock,57.45,5,1138.1
39.31,143.64,1.2,Low,Sedan,Foggy,0,Urban,91.61,183.8,4.42,4.71,Classical,73.48,31,1826.19
5.37,25.39,1.0,Medium,Sedan,Rainy,0,SemiUrban,98.99,92.18,3.5,3.1,Pop,62.42,16,468.5
16.52,,1.0,Low,Mini,Foggy,0,Airport,110.09,243.91,,3.73,None,53.54,63,993.2
38.81,103.32,1.2,Low,Sedan,Sunny,1,Airport,95.49,116.49,4.86,4.35,Rock,62.22,50,1734.46
34.75,109.7,2.5,Low,Sedan,Sunny,0,Airport,92.98,203.76,3.75,4.77,Pop,35.41,64,3585.08
32.87,103.26,2.0,Medium,Mini,Sunny,0,Urban,99.63,274.85,3.18,3.32,None,42.47,97,2553.19
11.06,42.7,1.0,Medium,Mini,Rainy,0,SemiUrban,108.38,59.65,4.65,3.19,Classical,38.8,5,641.66
7.66,22.6,1.2,High,Mini,Foggy,1,Urban,104.18,146.88,4.23,3.6,Rock,58.0,75,794.89
27.08,102.11,1.2,Medium,SUV,Sunny,0,Airport,99.97,83.73,4.18,3.51,None,88.47,64,1612.87
37.25,120.37,1.2,High,Sedan,Sunny,0,SemiUrban,116.49,277.16,3.27,4.39,Rock,47.27,77,1744.11
22.71,52.21,1.2,Medium,Sedan,Sunny,0,Airport,104.06,140.02,4.51,3.48,None,40.51,29,1238.95
23.29,72.88,1.5,Low,Sedan,Sunny,0,SemiUrban,103.65,103.34,3.41,4.25,None,67.76,3,1446.03
11.92,43.41,1.0,Medium,Premium,Sunny,0,Urban,90.95,219.12,3.08,4.31,Pop,19.82,90,1063.29
31.01,114.63,2.0,Medium,Mini,Rainy,0,Urban,109.18,185.8,3.32,4.61,None,89.23,90,2583.25
8.29,33.06,1.0,Medium,Mini,Sunny,1,Airport,103.78,254.23,4.4,4.21,Rock,75.69,40,733.26
13.62,55.95,1.2,Medium,Mini,Sunny,1,Airport,94.35,238.27,4.58,4.84,None,34.98,63,1073.14
17.59,50.23,2.0,Medium,SUV,Sunny,1,Airport,97.31,293.67,3.49,4.38,None,20.84,24,2356.38
20.8,79.85,1.2,Low,Sedan,Sunny,0,Urban,96.07,72.63,3.63,3.48,Pop,63.96,53,1046.34
10.45,23.49,1.0,Medium,SUV,Rainy,0,Urban,93.66,70.07,3.33,4.88,Rock,95.92,6,764.54
5.48,25.8,1.0,Low,Mini,Sunny,0,SemiUrban,103.07,276.84,3.91,3.38,Classical,87.46,50,572.29
24.81,82.53,1.2,Low,Sedan,Sunny,0,SemiUrban,100.9,288.93,3.44,3.37,Pop,7.72,20,1293.53
12.26,51.09,1.0,Medium,Mini,Rainy,0,SemiUrban,100.8,151.66,4.97,4.48,Rock,27.77,70,747.38
23.67,76.99,1.0,Medium,Sedan,Sunny,0,Urban,97.55,163.97,4.53,4.04,Pop,68.73,25,968.47
7.02,43.53,1.0,Low,Mini,Foggy,0,SemiUrban,103.09,142.17,4.19,3.32,Pop,54.27,29,567.47
19.76,62.39,1.5,Medium,Sedan,Rainy,0,Airport,106.43,244.42,4.44,3.23,None,19.47,61,1751.65
21.77,61.57,1.0,Medium,SUV,Sunny,0,Airport,108.35,242.7,3.33,3.34,Classical,86.61,67,1217.23
3.02,23.03,1.2,Low,SUV,Sunny,0,Urban,96.59,105.1,4.49,4.85,Pop,96.57,43,739.52
14.13,30.23,1.0,Medium,Mini,Rainy,1,Urban,111.84,145.97,3.69,4.17,Rock,38.79,65,751.56
6.24,28.42,1.2,Low,Sedan,Sunny,1,SemiUrban,90.81,103.11,3.94,4.46,Pop,59.37,92,533.44
3.47,32.01,1.0,Medium,SUV,Sunny,0,Urban,112.51,61.66,4.77,3.26,Classical,35.41,92,628.0
39.61,130.26,1.2,Low,Mini,Rainy,1,Urban,98.49,64.03,4.89,3.76,Pop,20.66,26,1686.18
13.57,58.07,1.2,Medium,Sedan,Sunny,1,Airport,101.1,86.71,4.54,4.11,None,89.81,45,1063.28
32.59,112.96,1.0,High,Sedan,,1,SemiUrban,107.42,57.47,4.54,,None,42.16,5,1362.15
10.93,29.51,1.5,High,Mini,Rainy,1,Urban,108.31,155.79,4.49,3.75,Rock,2.75,70,1099.91
27.58,69.05,2.0,Medium,Mini,Rainy,0,SemiUrban,102.63,66.0,4.25,3.19,Pop,32.3,14,2051.44
30.65,101.5,1.0,Low,Mini,Rainy,1,Urban,118.14,261.85,3.39,4.37,Classical,39.63,65,1252.62
24.23,70.02,1.2,Low,Sedan,Sunny,0,SemiUrban,115.75,228.02,4.18,4.2,Classical,16.99,28,1148.33
19.39,74.21,1.2,Medium,Mini,Rainy,1,Airport,96.75,245.91,3.11,3.84,Pop,73.52,94,1279.6
17.06,56.19,1.0,Medium,Mini,Sunny,0,Airport,107.67,204.37,3.06,4.85,Rock,17.7,60,864.5
14.61,58.83,1.0,High,Sedan,Sunny,0,Airport,,215.97,4.68,,Pop,86.7,76,1039.75
37.25,81.52,2.5,Low,Mini,Sunny,0,Airport,,78.35,4.08,3.73,None,60.73,25,3061.91
33.39,100.3,1.2,Medium,Mini,Sunny,0,Airport,90.55,64.54,3.03,,None,79.22,29,1497.77
38.64,111.92,2.0,Medium,Mini,Rainy,1,SemiUrban,119.27,297.3,3.55,4.6,Rock,68.13,2,2909.23
5.85,28.0,1.2,Medium,Premium,Sunny,1,Urban,,143.24,4.37,3.88,None,76.28,51,1036.91
29.5,85.18,1.0,Low,Mini,Sunny,0,Airport,99.61,62.82,4.88,3.94,Rock,41.72,38,1108.68
37.6,123.21,1.0,High,Mini,Sunny,0,Urban,97.17,89.91,4.69,4.17,Pop,59.33,44,1371.04
8.07,21.6,1.5,Medium,Mini,Sunny,1,SemiUrban,,268.55,3.89,4.32,Pop,38.15,38,894.38
3.59,17.51,1.2,High,Mini,Rainy,0,Urban,110.61,101.45,3.57,4.22,Classical,72.0,22,587.16
29.9,112.83,1.0,Medium,Sedan,Rainy,1,Urban,112.66,166.76,3.62,3.56,Pop,31.06,50,1407.62
23.4,88.89,1.2,Medium,Premium,Rainy,0,Urban,102.61,216.87,4.47,3.36,Classical,33.48,29,1704.19
33.83,105.12,1.5,Low,Sedan,,1,Urban,,291.47,4.61,3.06,None,82.78,67,2130.23
6.45,27.0,1.5,Medium,Sedan,Sunny,1,Airport,103.46,53.52,3.73,3.03,None,18.01,16,1000.07
32.02,,1.0,Medium,Mini,Foggy,0,Airport,105.49,171.9,4.25,4.78,Rock,39.9,95,1334.28
8.86,18.62,1.0,Medium,Mini,Sunny,1,Urban,106.3,299.01,4.49,4.99,None,57.33,85,657.39
,73.16,2.5,Low,Mini,,0,Urban,103.3,80.43,4.69,3.72,Classical,13.35,97,6059.6
7.41,19.65,2.0,Medium,SUV,Foggy,1,SemiUrban,,80.93,4.28,3.43,Classical,61.28,23,1312.92
32.77,118.88,1.0,Low,Sedan,Sunny,0,SemiUrban,104.15,71.76,4.73,3.8,Classical,37.38,72,1288.87
26.94,103.9,1.5,Low,Mini,Sunny,1,Urban,100.42,176.96,3.56,3.21,Pop,21.42,64,1602.06
64.2,167.31,1.0,Low,Mini,Sunny,0,Airport,106.7,137.1,4.4,4.26,Pop,5.71,63,2753.44
14.99,49.8,1.0,Low,Mini,Rainy,0,Airport,92.08,229.06,3.8,3.45,Rock,56.33,92,921.48
35.21,90.37,1.0,Medium,SUV,Sunny,0,Airport,116.38,192.82,4.86,,None,97.14,4,1602.31
16.31,65.42,1.0,Low,Sedan,Rainy,1,Airport,116.26,195.21,3.44,4.71,Rock,77.32,96,1083.93
32.85,103.75,2.0,Low,SUV,Sunny,0,Urban,106.92,177.76,4.57,4.14,Classical,39.62,59,2711.29
18.13,40.4,1.2,Low,Sedan,,1,Airport,112.11,298.02,4.86,3.27,Classical,18.96,14,1309.01
15.7,32.59,1.0,Medium,Mini,Sunny,0,SemiUrban,103.14,184.76,4.36,3.19,Pop,75.07,97,716.23
19.04,48.75,1.5,Medium,Premium,Rainy,1,Airport,107.71,68.09,4.58,4.31,Rock,86.37,24,1975.07
12.75,50.96,1.5,Low,Mini,Sunny,0,Urban,108.53,130.55,4.77,3.33,Rock,34.51,71,957.1
30.16,79.22,1.0,Medium,Mini,Sunny,1,SemiUrban,,245.17,3.62,3.39,Rock,6.22,66,5036.07
20.61,73.34,1.2,Medium,SUV,Sunny,1,SemiUrban,118.83,207.11,3.25,4.2,Pop,61.92,59,1364.4
10.06,32.48,1.5,High,Mini,Sunny,0,SemiUrban,108.08,220.99,4.87,4.82,Classical,9.17,19,997.29
36.08,123.49,1.5,Low,Sedan,Rainy,1,Urban,119.72,280.45,3.08,4.08,Pop,17.36,97,2329.03
15.97,63.8,1.5,High,SUV,Rainy,0,Airport,102.97,160.95,3.97,3.94,Rock,0.44,15,1810.99
22.2,102.51,1.0,Low,Sedan,Sunny,0,SemiUrban,90.97,54.88,3.64,4.72,Classical,26.09,95,1063.15
36.35,111.14,1.0,Medium,Mini,Sunny,0,Urban,99.07,297.52,4.11,3.59,Classical,76.18,70,1330.15
25.35,75.2,1.5,Medium,Sedan,Rainy,0,Airport,,163.64,4.98,3.07,None,82.07,3,1960.16
5.56,23.68,2.0,Low,SUV,Rainy,1,SemiUrban,117.31,74.4,3.09,4.12,Rock,94.81,3,1298.45
37.65,124.24,1.0,Medium,Sedan,Sunny,0,Airport,108.45,187.15,4.54,3.26,Classical,82.28,48,1562.76
25.48,77.19,1.0,Medium,Sedan,Rainy,0,Urban,104.15,197.55,,3.12,Rock,21.13,85,1264.62
14.06,,2.0,Medium,Premium,Sunny,0,Urban,92.42,191.08,3.52,3.19,Rock,52.35,85,2055.32
6.43,11.91,1.0,Medium,Premium,Sunny,1,Urban,94.34,291.23,,3.22,Pop,58.68,13,872.07
31.97,103.24,1.0,Low,Sedan,Sunny,0,SemiUrban,91.6,129.91,3.55,4.31,None,12.75,98,1080.16
25.18,67.72,1.0,High,Mini,Rainy,0,Urban,111.34,58.63,4.22,4.16,None,43.54,34,1081.81
21.8,77.11,1.0,High,Sedan,Rainy,0,Airport,114.93,279.94,4.93,3.64,None,30.53,18,1368.35
35.86,102.53,1.0,Low,Mini,Rainy,1,SemiUrban,94.93,97.81,,3.49,Classical,75.28,48,1186.22
31.76,123.87,1.2,Medium,Sedan,Sunny,1,Airport,99.76,237.36,4.67,3.0,Rock,7.97,14,1835.44
6.92,18.8,1.0,Low,Mini,Sunny,0,Urban,104.37,101.0,3.39,3.32,Rock,27.58,66,474.98
13.16,58.69,2.5,Medium,Sedan,Sunny,0,Urban,94.28,257.24,3.54,4.15,Classical,10.37,60,2045.92
10.69,32.05,2.0,Medium,Mini,Rainy,1,Airport,,276.6,4.58,4.11,Rock,46.3,14,1635.01
30.01,77.43,2.0,Medium,SUV,Sunny,1,SemiUrban,119.0,76.34,4.46,4.47,Pop,18.89,11,2469.82
2.31,8.98,2.0,Low,Mini,Sunny,1,Urban,111.57,86.82,3.58,3.07,Pop,10.5,54,781.16
23.23,88.26,1.2,High,Mini,,0,SemiUrban,95.01,281.32,3.86,4.59,Pop,65.84,55,1310.32
30.74,84.68,1.0,High,SUV,Rainy,0,Urban,92.96,242.68,4.3,4.16,Rock,84.51,66,1369.25
35.19,88.72,1.0,Medium,Sedan,Sunny,0,Airport,103.35,59.72,4.05,3.55,Pop,20.15,68,1355.58
14.34,46.66,1.0,Low,Sedan,Sunny,1,Airport,119.64,95.55,3.91,3.87,Pop,12.22,66,815.32
33.03,122.93,1.0,Low,SUV,Sunny,1,SemiUrban,113.8,153.02,3.2,4.6,Classical,66.03,75,1406.74
5.31,22.44,1.2,Medium,Sedan,Sunny,0,SemiUrban,98.79,266.05,3.87,3.97,Rock,4.33,15,715.84
34.01,109.71,2.5,High,Sedan,,0,SemiUrban,90.79,87.76,4.98,4.42,Pop,23.83,14,3323.07
5.97,12.54,1.0,High,Mini,Sunny,1,Urban,102.34,231.04,3.68,3.81,Pop,30.5,99,603.15
16.49,58.03,1.2,Low,Sedan,Foggy,0,Airport,94.82,70.93,4.39,4.09,Rock,91.96,46,1110.46
32.09,77.94,1.2,Medium,Mini,,0,Urban,95.41,166.79,4.01,4.67,Rock,35.11,3,1356.03
6.85,11.24,1.0,Medium,Sedan,Sunny,0,SemiUrban,94.87,232.25,4.59,3.99,Rock,53.25,63,605.98
9.94,42.68,2.0,Low,SUV,Sunny,1,Urban,111.59,66.18,,,Pop,77.3,67,1520.87
29.17,115.12,1.2,Medium,Sedan,Sunny,0,SemiUrban,91.08,101.06,4.89,3.84,Classical,84.52,46,1468.81
,119.54,1.0,Low,Premium,Sunny,0,Urban,106.94,247.95,4.3,3.38,Classical,9.56,52,1595.73
26.0,59.93,2.0,Medium,SUV,,0,Urban,112.58,90.88,4.9,4.95,Rock,75.42,48,2305.24
28.06,102.74,1.2,High,Sedan,Sunny,1,SemiUrban,94.69,216.88,3.08,3.04,Pop,75.37,17,1502.75
,72.68,1.2,High,Sedan,Foggy,0,Urban,116.79,210.55,,3.25,Pop,87.83,45,1376.46
10.82,49.16,1.2,Medium,Sedan,Sunny,1,SemiUrban,92.34,180.1,4.35,4.43,None,76.56,86,868.94
14.48,57.34,1.5,Low,Mini,Sunny,0,Airport,110.48,100.43,3.96,4.48,Classical,12.93,34,1123.51
8.08,44.66,1.0,Medium,Mini,Sunny,1,SemiUrban,95.16,154.24,4.86,3.31,Rock,30.08,30,557.66
36.43,70.19,2.0,High,Mini,Sunny,0,SemiUrban,114.18,205.44,3.28,4.27,Rock,42.34,78,2530.36
23.75,69.83,2.5,Medium,Premium,Sunny,1,Airport,107.14,270.43,3.96,4.77,Rock,11.32,68,3692.6
16.63,,1.2,Medium,Mini,Rainy,0,Urban,107.68,249.46,4.71,4.6,Pop,12.07,92,1059.91
19.02,77.13,1.2,High,Sedan,Sunny,0,SemiUrban,100.38,201.84,4.51,3.01,Pop,78.86,37,1177.77
,103.22,2.0,High,Sedan,Sunny,0,Urban,98.5,107.12,4.58,3.08,Rock,17.03,36,2878.18
6.98,,1.0,High,Sedan,Sunny,0,Urban,103.9,104.17,3.92,3.93,None,90.51,35,676.85
23.86,64.01,2.5,High,Sedan,Sunny,0,SemiUrban,112.73,253.47,3.68,3.7,Pop,21.25,68,2793.57
20.73,68.86,1.2,Low,Mini,Sunny,0,SemiUrban,95.05,216.11,4.01,3.19,Classical,49.08,61,3258.84
24.85,61.52,1.0,High,SUV,Sunny,0,SemiUrban,114.49,139.52,3.4,3.39,Classical,21.17,58,1130.07
1.71,2.83,1.2,Medium,SUV,Sunny,0,SemiUrban,104.4,292.87,4.28,4.89,Rock,94.11,55,686.21
35.01,105.18,1.2,Low,Sedan,Sunny,0,Airport,103.57,272.44,4.57,3.74,Pop,54.22,48,1814.12
37.35,115.33,1.0,Medium,SUV,Sunny,0,SemiUrban,90.5,217.88,3.14,3.44,Rock,55.96,47,1434.97
23.04,80.65,1.5,Medium,Mini,Rainy,1,Airport,93.73,142.31,4.2,3.32,None,87.12,55,7040.03
,107.29,1.2,Low,Mini,Rainy,1,SemiUrban,102.96,127.19,4.15,4.18,Pop,14.97,76,1333.71
36.98,90.3,1.5,High,Sedan,Rainy,0,Urban,119.44,284.85,3.53,3.93,Classical,8.68,15,2344.63
28.58,93.44,1.0,Low,SUV,Rainy,1,SemiUrban,97.5,160.87,4.99,,Pop,97.46,2,1233.74
6.95,,1.2,High,Mini,Rainy,1,Urban,90.31,250.0,4.0,3.74,Classical,91.85,49,856.02
23.48,43.19,1.5,Low,Sedan,Sunny,0,Airport,103.08,284.93,4.78,3.4,Classical,25.27,33,1731.96
24.66,,2.5,Low,Mini,Sunny,0,Urban,90.48,173.0,3.38,4.49,Classical,59.22,79,2537.1
17.54,63.3,2.0,Medium,Premium,Sunny,1,Airport,100.09,213.28,4.5,4.5,None,69.35,48,2685.95
29.72,89.34,2.0,Medium,SUV,Rainy,0,SemiUrban,100.62,71.56,3.16,3.06,Classical,92.67,51,2590.22
37.44,113.33,1.0,Low,Mini,Sunny,0,SemiUrban,90.07,213.15,3.14,3.43,None,21.02,86,1222.43
37.1,124.14,1.5,High,Premium,Rainy,0,Urban,113.39,103.77,3.38,3.12,Pop,78.82,83,2675.27
18.58,71.51,1.0,Medium,Mini,Rainy,0,Urban,117.39,217.63,4.47,3.18,Rock,17.86,26,946.61
5.42,26.7,1.0,Medium,Sedan,Sunny,1,Urban,119.96,75.26,4.99,4.91,Pop,55.94,68,574.26
39.41,130.93,1.0,Low,Mini,Sunny,0,Urban,105.26,173.8,4.62,3.91,Rock,20.05,51,1343.1
33.72,130.59,2.0,Medium,Mini,Sunny,0,Airport,99.2,180.25,3.85,3.4,Classical,29.77,54,2851.13
5.86,8.38,1.0,High,Mini,Sunny,0,Airport,111.52,170.88,4.29,4.93,Classical,53.18,96,689.92
36.91,119.98,1.0,Low,Mini,Rainy,0,Urban,112.09,239.18,3.95,3.95,Classical,31.95,85,1428.86
34.93,117.83,1.0,Low,SUV,Sunny,0,SemiUrban,101.38,238.63,3.49,4.37,None,99.72,73,1407.82
21.23,60.33,1.2,Medium,Sedan,Foggy,0,Urban,106.97,226.59,4.23,4.91,Classical,64.46,45,1234.41
24.06,107.76,2.0,High,Mini,Foggy,0,Airport,114.65,207.91,4.06,4.86,None,83.64,97,2623.26
16.56,75.84,1.0,Medium,Sedan,Sunny,0,Airport,95.68,276.1,4.08,4.93,None,19.68,21,1119.93
3.14,1.32,1.2,Medium,Sedan,Rainy,0,SemiUrban,90.61,193.91,3.13,4.68,Pop,13.02,32,646.94
14.07,55.57,1.0,Medium,Premium,Sunny,0,Airport,106.19,137.08,3.24,4.4,Pop,28.02,75,1163.0
32.31,109.16,1.0,High,Sedan,Rainy,0,Urban,109.93,64.8,4.0,3.42,Classical,81.45,70,1341.29
1.18,-5.07,1.0,Low,SUV,Rainy,1,Airport,107.25,183.95,3.72,3.37,None,19.84,74,598.28
14.01,56.65,1.0,Low,Mini,Rainy,1,Urban,107.89,106.94,3.85,3.71,None,24.56,2,786.1
16.53,37.67,1.2,Low,Mini,Sunny,1,SemiUrban,101.79,146.74,,4.8,Pop,74.31,44,812.69
21.96,85.54,1.0,Low,Sedan,Rainy,1,Airport,109.54,62.49,4.42,3.49,Rock,80.09,98,1036.59
36.87,106.24,1.5,Low,Sedan,Rainy,0,SemiUrban,91.28,210.22,3.36,3.42,Rock,54.75,8,2063.22
,33.97,2.5,Low,Sedan,Rainy,0,Urban,94.54,271.67,4.88,4.15,Rock,14.42,55,2129.99
,55.45,1.0,Medium,Sedan,Sunny,0,SemiUrban,103.34,131.29,3.94,3.46,Pop,83.47,90,827.53
29.76,119.01,1.0,Low,Sedan,Rainy,0,Urban,118.29,251.22,3.68,4.16,Pop,58.21,38,1333.01
18.64,60.09,1.5,Medium,Premium,Rainy,0,Urban,109.33,81.58,3.04,,None,93.22,31,1738.79
9.76,24.71,1.0,High,Premium,Foggy,0,Airport,100.66,230.78,3.71,3.71,Pop,20.65,94,1099.45
18.65,45.13,1.0,Low,Sedan,Sunny,0,Airport,103.74,69.94,4.25,3.91,Pop,14.62,43,825.51
6.49,38.99,1.0,Low,Sedan,Sunny,1,Airport,115.37,114.66,4.59,3.93,Rock,22.57,19,769.1
7.88,21.45,2.0,Low,Sedan,Rainy,0,Urban,,140.06,,3.24,Rock,19.02,16,1329.44
20.44,58.27,1.2,Medium,Mini,Sunny,0,Urban,91.44,89.2,4.15,3.22,Classical,80.55,2,1038.57
17.34,77.86,1.0,Medium,Premium,Rainy,1,Urban,102.51,96.12,3.87,3.3,Classical,9.52,33,1137.46
36.68,119.39,1.0,High,Mini,Sunny,0,SemiUrban,101.64,224.73,4.05,4.51,Rock,81.17,85,1384.76
15.13,50.87,1.0,Medium,Sedan,Rainy,0,Urban,117.0,73.94,4.92,4.54,Classical,64.58,33,835.13
23.64,100.91,1.0,High,Mini,Rainy,0,Airport,,283.48,4.93,3.86,Classical,91.69,28,1280.85
25.66,77.89,1.2,Medium,Sedan,Sunny,0,Airport,91.94,242.09,4.61,3.05,Rock,46.63,12,1404.83
1.51,7.58,1.5,Low,Mini,Rainy,0,SemiUrban,100.64,139.18,3.33,3.03,None,26.99,19,604.75
26.88,85.38,1.0,Low,SUV,,1,Airport,91.32,207.19,4.87,4.92,Pop,90.22,68,1334.99
7.94,48.51,1.0,Medium,Mini,Rainy,0,Urban,114.97,229.85,4.3,3.46,Pop,0.72,63,820.75
38.48,90.96,1.0,High,SUV,Sunny,0,Urban,107.71,198.62,,3.34,Rock,91.8,77,1466.81
6.8,22.56,1.0,Low,Premium,Rainy,0,Airport,104.08,204.56,4.12,3.17,Rock,62.48,22,1091.37
17.17,85.41,2.5,Low,SUV,Sunny,0,Airport,100.8,278.99,,,Classical,16.16,23,2983.48
,19.78,1.0,High,Sedan,Sunny,1,Urban,,270.27,3.96,4.45,None,29.31,33,691.26
39.88,145.79,1.0,Low,Mini,Rainy,0,Urban,113.64,278.45,3.86,4.92,Rock,59.01,8,1524.47
20.59,79.85,1.0,Medium,SUV,Sunny,0,Urban,95.4,271.3,4.79,4.69,None,9.71,19,1222.19
24.22,57.69,1.2,Low,SUV,Sunny,0,Airport,92.14,221.35,3.91,3.05,Classical,5.74,14,1440.94
3.62,26.51,2.0,Low,Mini,Rainy,1,Airport,106.85,172.94,3.44,4.63,Rock,51.89,22,1309.84
,85.47,1.0,Medium,Sedan,Sunny,0,Urban,115.77,171.85,3.46,4.93,None,3.35,40,1249.86
9.19,41.5,1.0,Medium,Mini,Rainy,0,Airport,106.87,242.89,3.26,4.05,None,77.1,81,841.96
36.02,122.73,1.0,Low,Sedan,Sunny,0,SemiUrban,113.88,280.99,4.11,3.33,Classical,69.69,99,1436.61
,16.5,1.5,Medium,Mini,Rainy,0,Airport,116.78,72.01,3.65,3.46,Classical,92.75,18,1104.41
8.44,27.42,1.2,Low,Sedan,Sunny,1,Airport,92.31,269.21,4.15,4.68,Classical,82.57,22,913.68
2.43,24.81,1.2,Medium,Sedan,Sunny,0,Urban,107.68,262.42,4.86,4.93,Rock,6.35,14,785.73
19.41,,1.2,Low,Mini,Sunny,1,Airport,114.98,71.9,4.91,4.91,None,20.2,93,999.52
,90.87,2.0,Medium,SUV,Sunny,0,Urban,109.31,214.14,3.61,,Classical,20.05,71,2360.75
3.56,18.66,1.0,High,SUV,Rainy,1,Airport,107.75,292.97,3.44,4.23,None,44.22,29,931.65
31.25,135.72,1.2,Low,Sedan,Rainy,1,Airport,113.64,262.91,3.11,4.34,None,54.66,62,1903.9
18.68,,1.2,Low,SUV,,0,Airport,111.22,65.71,3.55,3.85,None,46.28,20,1251.62
21.45,58.05,1.2,High,SUV,,1,Urban,105.05,281.3,,4.88,None,22.71,25,1421.74
18.19,53.16,1.0,Medium,Sedan,,0,Airport,91.32,93.27,4.21,4.64,Pop,91.51,36,941.6
16.63,56.98,1.0,Medium,Mini,Sunny,0,Airport,108.4,68.12,3.2,3.27,None,3.7,77,880.97
22.83,,1.0,Low,Sedan,Sunny,0,SemiUrban,96.4,106.96,3.49,3.26,Rock,3.02,38,1016.39
